name,vartype,uom,specified,group,range,description
Lang_TPI,Dimensionless,,True,Summary,"[0.0, 0.0]",Summary Lang Factor for calculating total permanent investment. Recommended values:\n     Fluids processing plant: 5.04\n     Solids-fluids processing plant: 4.28\n     Solids processing plant: 3.97
Lang_TCI,Dimensionless,,True,Summary,"[0.0, 0.0]",Summary Lang Factor for calculating total capital investment. Recommended values:\n     Fluids processing plant: 5.93\n     Solids-fluids processing plant: 5.03\n     Solids processing plant: 4.67
LPSteam,currency_mass,¤/kg,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global low-pressure steam utility price
MPSteam,currency_mass,¤/kg,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global medium-pressure steam utility price
HPSteam,currency_mass,¤/kg,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global high-pressure steam utility price
Electricity,currency_energy,¤/kWs,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global electric power utility price
NaturalGas,currency_volume,¤/m3,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global natural gas utility price
FuelOil,currency_volume,¤/m3,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global fuel oil utility price
Refrigerant,currency_energy,¤/kWs,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global refrigerant utility price
CoolingWater,currency_volume,¤/m3,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global cooling water utility price
BFW,currency_volume,¤/m3,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global boiler feed water utility price
PlantAir,currency_volume,¤/m3,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global plant air (compressed and dried) utility price
CO2eEmission,currency_mass,¤/kg,True,Global Utility Prices,"[-100000000.0, 100000000.0]",Global CO2e emissions price (either through a direct carbon tax or purchased carbon credit)
TotalLPSteamCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total low-pressure steam utility cost
TotalMPSteamCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total medium-pressure steam utility cost
TotalHPSteamCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total high-pressure steam utility cost
TotalElectricityCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total electric power utility cost
TotalNaturalGasCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total natural gas utility cost
TotalFuelOilCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total fuel oil utility cost
TotalRefrigerantCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total refrigerant utility cost
TotalCoolingWaterCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total cooling water utility cost
TotalBFWCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total boiler feed water utility cost
TotalPlantAirCost,currency_rate,¤/s,False,Total Utility Costs,"[-100000000.0, 100000000.0]",Summary total plant air utility cost
TotalUtilityCost,currency_rate,¤/s,False,Summary,"[-100000000.0, 100000000.0]",Summary total utility costs
TotalRawMatlCost,currency_rate,¤/s,False,Summary,"[-100000000.0, 100000000.0]",Summary total raw material costs
TotalWasteCost,currency_rate,¤/s,False,Summary,"[-100000000.0, 100000000.0]",Summary total waste costs
TotalCO2eEmissionCost,currency_rate,¤/s,False,Summary,"[-100000000.0, 100000000.0]",Summary total CO2e emissions costs
TotalProductValue,currency_rate,¤/s,False,Summary,"[-100000000.0, 100000000.0]",Summary total product sales
TotalOperatingCost,currency_rate,¤/s,False,Summary,"[-100000000.0, 100000000.0]",Summary total operating cost
FixedCapInvestment,currency_base,¤,False,Summary,"[-100000000.0, 1000000000000.0]",Summary total fixed capital investment
FWCapInvestment,currency_base,¤,False,Summary,"[-100000000.0, 1000000000000.0]",Summary total fixed and working capital investment
TotalPurchaseCost,currency_base,¤,False,Total Capital Costs,"[-100000000.0, 1000000000000.0]",Summary total free on board purchase price of all equipment
TotalCPHXs,currency_base,¤,False,Total Capital Costs,"[-100000000.0, 1000000000000.0]",Summary total free on board purchase price of heat exchangers
TotalCPPumps,currency_base,¤,False,Total Capital Costs,"[-100000000.0, 1000000000000.0]",Summary total free on board purchase price of centrifugal pumps (and optional electric motors)
TotalCPComps,currency_base,¤,False,Total Capital Costs,"[-100000000.0, 1000000000000.0]",Summary total free on board purchase price of compressors (including drivers and shaft coupling)
TotalCPVessels,currency_base,¤,False,Total Capital Costs,"[-100000000.0, 1000000000000.0]",Summary total free on board purchase price of vessels (including platform and ladders)
TotalCPColumns,currency_base,¤,False,Total Capital Costs,"[-100000000.0, 1000000000000.0]","Summary total free on board purchase price of columns (including internals, platform and ladders)"
LandCost,currency_base,¤,True,Economic Analysis,"[-100000000.0, 1000000000000.0]",Summary initial capital investment to purchase land
Ieff,Fraction,fraction,False,Economic Analysis,"[0.0, 0.0]",Summary effective interest rate after adjusting for inflation
TotalCapInvestment,currency_base,¤,False,Summary,"[-100000000.0, 1000000000000.0]","Summary total capital investment (includes initial, fixed, and working capitals)"
EOC,currency_rate,¤/s,False,Summary,"[-100000000.0, 100000000.0]",Summary equivalent operating cost (combines total capital cost with annual operating cost)
TotalProduct,Mass,kg,False,Summary,"[0.0, 0.0]",Summary cumulative amount of product produced over time t
CumulativeDynCost,currency_base,¤,True,Summary,"[-100000000.0, 100000000.0]",Summary cumulative amount of costs accrued over time t
CDC,currency_base,¤,False,,"[-100000000.0, 100000000.0]",Summary cumulative dynamic cost
dCDCdt,Real,,False,,"[-1000000.0, 1000000.0]",Summary cumulative dynamic cost time derivative
LCOP,currency_mass,¤/kg,True,Summary,"[0.0, 0.0]",Summary levelized cost of the product (operating costs per unit product produced)
