name,vartype,uom,specified,group,range,description
FInV[1],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[2],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[3],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[4],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[5],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[6],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[7],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[8],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[9],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[10],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[11],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[12],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInV[13],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar vapor feed rate profile
FInL[1],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[2],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[3],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[4],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[5],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[6],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[7],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[8],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[9],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[10],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[11],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[12],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
FInL[13],Mole_Flow,kmol/s,False,Profiles,"[-1000000000.0, 1000000000.0]",Column molar liquid feed rate profile
Contact,Fraction,fraction,True,Configuration,"[0.0, 0.0]","Column overall contact efficiency factor. For a rigorous column solution set Contact to 1. For smooth convergence set Contact to 1 after, but not before, changing Setup to Solve."
Ptop,Pressure,kPa,True,Pressures,"[1.0, 20000.0]",Column top stage pressure
Pbtm,Pressure,kPa,False,Pressures,"[1.0, 20000.0]",Column pressure below the last stage
DPstage,Diff_Pressure,kPa,True,Pressures,"[-50000.0, 50000.0]",Column stage pressure drop
DPtop,Diff_Pressure,kPa,True,,"[-50000.0, 50000.0]","Column Stage[1] pressure drop. By default, this is the basis for DPstep calculations when PressureDrop = Profile."
