name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,False,,Drum fluid type
InletPressures,Enumeration,,False,Configuration,"Drum Process mode inlet pressure option.\n     Minimum: allow any feed inlet pressure. The outlet pressure is then set to the minimum inlet pressure.\n     Balanced: automatically set all feed inlet pressures equal. Therefore, exactly one pressure specification\n     on the feed line must be freed up, typically a valve's, a pipe's or an exchanger's DP specification.\nFor Fluid Flow and Dynamic modes all feed inlet pressures are automatically balanced."
Separation,Enumeration,,False,Configuration,Drum uses one combined equilibrium holdup or separate vapor and liquid non-equilibrium holdups
Orientation,Enumeration,,False,Vessel Data,"Drum orientation vertical, horizontal cylinder or a sphere."
Reactions,Enumeration,,False,Configuration,Drum reaction option
RxnRateBasis,Enumeration,,False,Reaction Results,"Global fluid equilibrium reaction rate basis.\n     Absolute: Reaction rates represent absolute molar rates of change. \n     Per Unit Feed: Reaction rates are normalized based on the feed flow \n         rate. Representing the molar change per unit feed, they become\n         independent of the absolute flow rate (preferred).\n\nBoth options yield identical results, but require different formulations\nin the reaction Rate model. “Per Unit Feed” is recommended due to\nbetter numerical stability when stream flows approach zero rate.\nStarting with v2023 fluid reactions are defaulted to the ""Per Unit Feed""\noption.  The ""Absolute"" option is retained for compatibility with\nsimulations built before v2023 and will be removed in a future release."
StaticHead,Enumeration,,False,Configuration,Global static head option.\n     Include: include the static head contribution to the inlet and outlet ports. \n     Ignore: ignore the static head contribution.\n The StaticHead option relates to Process mode only.
ModeCheck,Enumeration,,False,Configuration,Global check for mode change warnings while still in process mode
Elevations,Enumeration,,False,Elevation,"Global selection to enable the specification of equipment port elevations.\n     Disabled: disable specifications for port elevations.  The elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: manually specify port elevations. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: automatically calculate port elevations using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models\n(for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
EntrainType,Model Type,,False,Configuration,"Drum entrainment model\n     Set to 'Process.DefNoEntrain' where entrainment is ignored.\n     Set to 'Process.EntrainVL' to specify entrainment with fractions.\nTo customize, copy the 'Process.EntrainVL' model to the simulation library."
Tamb,Temperature,K,False,Heat Transfer,Global ambient temperature
HeatModel,Enumeration,,False,Heat Transfer,Drum ambient heat loss model\n     Adiabatic: no heat loss to the surrounding\n     ConstU: set transfer coefficients for the heat loss to the surrounding
Insulation,Enumeration,,False,Heat Transfer,Drum insulation type to set the conductivity k value\n     None: k = 0.0 W/m-K\n     CalciumSilicate: k = 0.06 W/m-K\n     PolyurethaneRigidFoam: k = 0.0255 W/m-K\n     MineralWoolRock: k = 0.037 W/m-K\n     OneLayerInsulation:  specify k for a single layer\n     TwoLayerInsulation:  specify k values for 2 layers\n     ThreeLayerInsulation: specify k values for 3 layers
HeadRatio,Ratio,,False,Vessel Data,Drum HeadRatio is the ratio of the head length to the radius of the cylinder.\n     0: flat heads.\n     0.5: standard 2:1 ellipsoid heads.\n     1: hemispherical heads.\nThe HeadRatio parameter is obsolete for spherical drums.
Phases,Enumeration,,False,Configuration,Drum option to override the fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
OutFlashCheck,Enumeration,,False,,Drum compulsory check for out flash temperature
OutFlashNoCheck,Enumeration,,False,,Drum option to ignore out flash temperature when StaticHead = Include 
