name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,True,,Stream fluid type
GlobalComponents,Enumeration,,False,Property View Options,Global GlobalComponents option to display component fractions or flows on molar or mass basis
Components,Enumeration,,False,Property View Options,Stream Components option to display component fractions or flows on molar or mass basis.\nSet Components to Global and change it globally using GlobalComponents.
Phase,Enumeration,,False,Property View Options,Stream selection to display phase properties for multiphase streams
Thermophysical,Enumeration,,False,Property View Options,"Stream selection to calculate thermophysical properties (Cp, mu, kappa, sigma)"
CpCvRatio,Enumeration,,False,Property View Options,Stream selection to calculate ideal specific heat ratio (CpCv) or real isentropic expansion coefficient (k)
Critical,Enumeration,,False,Property View Options,Stream selection to calculate critical and reduced temperature and pressure
Fuel,Enumeration,,False,Property View Options,"Stream selection to calculate fuel properties for a compositional stream (GHV, LHV, Wobbe Index and Soot Index)"
DewBubblePoint,Enumeration,,False,Property View Options,"Stream selection to calculate the degree of superheating and subcooling for multiphase fluids\n     Dew: this option reports\n         - the stream dew point temperature Td at the actual pressure.\n         - the stream delta temperature DTd above the dew point (T-Td) at the actual pressure.\n     Bubble: this option reports\n         - the stream bubble point temperature Tb at the actual pressure.\n         - the delta temperature DTb above the bubble point (T-Tb) at the actual pressure.\n         - the stream vapor pressure Pv at the actual temperature.\n     Both: this option combines the options for Dew and Bubble. \n     Hide: dew and bubble point data are not reported.\nThe variables Td, DTd, Tb, DTb, Pv are listed in the “Dew and Bubble Point” group."
StandardProperties,Enumeration,,False,Property View Options,"Stream StandardProperties option to calculate standard liquid and vapor volumetric flowrates, L and V\n     - L is based on pure components specific gravity, SG60F, which is at 60 F and 1 atm\n     - V is based on ideal gas conversion of moles to volume\n           - Nm3 are reported at 0 C and 1 atm\n           - scf are reported at 60 F and 1 atm\n   Hide: Do not calculate\n   Dry: Calculate on dry basis (excluding water composition) \n   Wet: Calculate on wet basis \n   Both: Calculate both on dry and wet basis"
CalcBulkLiquid,Enumeration,,False,,Stream selection to calculate bulk liquid properties for VLLE
Resistance,Enumeration,,False,Flow Resistance,"Stream option to enable simplified flow resistance calculations for use in Fluid Flow and Dynamics modes (these modes rely \non pressure gradients in the simulation to calculate flow rates).\nSet Resistance = Flow to provide a simple flow-based linear pressure drop calculation in the stream. If data is available, use\na Pipe or other physical model to rigorously calculate the pressure drop and pressure gradient instead."
PropModelType,Model Type,,False,Additional Properties,Stream model type to calculate additional stream properties
FRramp,Mole_Flow,kmol/s,False,,"Global flow parameter to ramp from forward stream\nconditions to reverse stream conditions.\n\nFor steady state simulations, use a value smaller than\nthe smallest flowrate in your simulation.\n\nFor dynamic simulations, the FRramp will cause the\nthermodynamic state calculations to use the forward\nenthalpy/composition when the flow is greater than\nFRramp, reverse enthalpy/composition when flow is\nless than negative FRramp, and ramp the values in\nbetween negative FRramp and FRramp as flow reversal\ntakes place.\n\nA larger value will smooth out sudden discontinuities\nfor dynamics but stream properties may appear wrong\nnear zero flow in steady state simulations."
Show,Enumeration,,False,,Stream parameter to show Cp for ideal Cp/Cv calculation
Elevations,Enumeration,,False,,"Global selection to enable the specification of equipment port elevations.\n     Disabled: port elevations cannot be specified.  Elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: port elevations must be manually specified. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: port elevations are automatically calculated using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models (for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
DPlin,Diff_Pressure,kPa,False,,Stream DP linearization 
Phases,Enumeration,,False,Property View Options,Stream option to override the fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     Vapor: The phases are set to Vapor.\n     Liquid: The phases are set to Liquid.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
PhaseNoOverride,Enumeration,,False,,Stream PhaseNoOverride parameter defaulted to NoOverride which is used for the connection to the State.PhaseOverride when Phases = Fluid
FlashCheck,Enumeration,,False,,Stream option to compare stream temperature with upstream flash temperature
