name,vartype,uom,specified,group,range,description
W,Mass_Flow,kg/s,False,Total Stream,"[-1000000.0, 1000000.0]",Stream mass flow
F,Mole_Flow,kmol/s,False,Total Stream,"[-1000000.0, 1000000.0]",Stream mole flow
LF,Mole_Composition,mole fraction,False,Total Stream,"[0.0, 1.0]",Stream molar liquid fraction (includes solids)
VF,Mole_Composition,mole fraction,False,Total Stream,"[0.0, 1.0]",Stream molar vapor fraction
Q,Vol_Flow,m3/s,False,Total Stream,"[-1000000.0, 1000000.0]",Stream actual volumetric flow
FH,Heat_Flow,kJ/s,False,Total Stream,"[0.0, 0.0]",Stream heat flow
T,Temperature,K,False,Total Stream,"[100.0, 2000.0]",Stream temperature
P,Pressure,kPa,False,Total Stream,"[1.0, 20000.0]",Stream pressure
z[H2],Mole_Composition,mole fraction,False,Total Stream,"[0.0, 1.0]",Stream bulk molar composition
z[N2],Mole_Composition,mole fraction,False,Total Stream,"[0.0, 1.0]",Stream bulk molar composition
z[Argon],Mole_Composition,mole fraction,False,Total Stream,"[0.0, 1.0]",Stream bulk molar composition
z[NH3],Mole_Composition,mole fraction,False,Total Stream,"[0.0, 1.0]",Stream bulk molar composition
H,Mole_Enthalpy,kJ/kmol,False,Bulk Phase,"[-1000000000.0, 1000000000.0]",Stream bulk molar enthalpy
MW,Mole_Weight,kg/kmol,False,Total Stream,"[1.0, 1000000.0]",Stream bulk molecular weight
rho,Mass_Density,kg/m3,False,Bulk Phase,"[1e-06, 1000000.0]",Stream bulk mass density
Feps,Mole_Flow,kmol/s,False,,"[0.0, 1000000.0]",Stream small sweep flow safeguard to issue PhaseCheck warning
deltaT,Diff_Temperature,K,False,,"[-1000.0, 1000.0]",Stream temperature difference between upstream and stream 
FlashChkTol,Diff_Temperature,K,True,Warnings,"[-1000.0, 1000.0]",Global flash check temperature tolerance.\nUsed to check if the stream temperature is different than the upstream flash temperature.\nIncrease the FlashChkTol if the temperature mismatch is expected.
