name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,False,,Valve fluid type
ModeCheck,Enumeration,,False,Configuration,Global check for mode change warnings while still in Process mode
FlowType,Enumeration,,False,Configuration,"Valve compressible, incompressible, or flow range calculations"
CheckValve,Enumeration,,False,Configuration,Valve check valve to prevent reverse flow 
Tc,Time,s,False,Actuator ,Valve time to open/close
xT,Dimensionless,,False,Valve Data,Valve critical flow pressure ratio coefficient
CpCv,Dimensionless,,False,Valve Data,Valve gas heat capacity ratio
FRramp,Mole_Flow,kmol/s,False,Configuration,"Global flow parameter to ramp from forward stream\nconditions to reverse stream conditions.\n\nFor steady state simulations, use a value smaller than\nthe smallest flowrate in your simulation.\n\nFor dynamic simulations, the FRramp will cause the\nthermodynamic state calculations to use the forward\nenthalpy/composition when the flow is greater than\nFRramp, reverse enthalpy/composition when flow is\nless than negative FRramp, and ramp the values in\nbetween negative FRramp and FRramp as flow reversal\ntakes place.\n\nA larger value will smooth out sudden discontinuities\nfor dynamics but stream properties may appear wrong\nnear zero flow in steady state simulations."
Elevations,Enumeration,,False,,"Global selection to enable the specification of equipment port elevations.\n     Disabled: disable specifications for port elevations.  The elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: manually specify port elevations. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: automatically calculate port elevations using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models (for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
Char,Enumeration,,False,Valve Data,Valve characteristic curve
ActuatorType,Enumeration,,False,Actuator ,Valve actuator type: first order or constant velocity
Leak,Fraction,fraction,False,Valve Data,Valve leak fraction
MotiveModelType,Model Type,,False,Actuator ,Valve motive power replaceable submodel.\n     Keep 'NoMotivePwr' submodel if the valve does not have a defined motive power.\n     Select 'MotiveAir' submodel to set air as the motive power.\n     Create a copy of 'MotiveAir' and rename variable 'Air' to customize motive power/fluid for the valve.
FailPosition,Enumeration,,False,Actuator ,Valve fail position selection.\n     Closed: valve closes when motive power failed or tripped.\n     Open: valve opens when motive power failed or tripped.\n     Last: valve holds the last known position when motive power failed or tripped.
Phases,Enumeration,,False,Configuration,Valve option to override the fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     Vapor: The phases are set to Vapor.\n     Liquid: The phases are set to Liquid.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
PhaseNoOverride,Enumeration,,False,,Valve PhaseNoOverride parameter defaulted to NoOverride which is used for the connection to the State.PhaseOverride when Phases = Fluid
RFState,Enumeration,,False,Configuration,Global option to calculate valve flow from forward and reverse stream properties.\n     Single -  Forward and reverse stream properties are mixed in a single flash to\n                   calculate the properties in the direction of flow.\n     Double - Forward and reverse stream properties are flashed separately\n                   and only the properties in the flow direction are used.\nThe RFState option is applicable only when FlowType is either Compressible or Incompressible.
DPlin,Diff_Pressure,kPa,False,,Valve pressure difference at which flow is assumed to be linear with pressure drop.\nAdjusting value may improve convergence at low flow and reverse flow conditions.
LineSizedCv,Enumeration,,False,Valve Data,"Valve line sized Cv calculation:\n     Actual: specify Cv or calculate from DP, flowrate and position.\n     Other Cv options: calculate Cv based on line size and valve type.\n          See Submodels.ValveCoeff help (Crane Technical Paper 410)\n          for details. Go to PipeData group to select pipe."
Standard,Enumeration,,False,Pipe Data,Global Standard options:\n     None: ignore piping standards and allow the pipe inside diameter \n          to be calculated/specified to any value.\n     NPS: specify the pipe diameter in Nominal Pipe Size.\n     DN: specify the pipe diameter in Diameter Nominal.\n     JIS A: specify the pipe diameter in Japanese Industrial Standard A.\n     JIS B: specify the pipe diameter in Japanese Industrial Standard B.\n     GOST: specify the pipe diameter in Russian Standard.\n     DIN: specify the pipe diameter in German Standard.
DefaultPipeSize,Enumeration,,False,,Valve default pipe size.
PipeSizing,Enumeration,,False,,Valve PipeSizing parameter set to 'Fixed' to use the fixed DefaultPipeSize.
