name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,True,,Compressor fluid type
FlowBasis,Enumeration,,False,Configuration,"Compressor Flow basis. Must match compressor curve. (e.g. if compressor curve is in mass units, use mass basis) "
HeadOption,Enumeration,,False,Configuration,"Compressor Head Option.\n     AdiabaticGasHead: calculate the head based on a provided adiabatic gas head curve.\n     PolytropicGasHead: calculate the head based on a provided polytropic gas head curve.\n     PressureDiff: calculate the head based based on a provided curve for fans.\n     DischargePressure: The compressor curve sets the discharge pressure, head is derived from it."
Efficiency,Enumeration,,False,Configuration,"Compressor efficiency option.\n     Constant: specify an overall efficiency value.\n     Curve:  use an available efficiency curve.\n     PowerCurve: compressor curve directly sets power, efficiency is derived from it."
Icon,Enumeration,,False,Configuration,Compressor icon
Surge,Enumeration,,False,Surge Calculations,Compressor option to use surge curve 
CurveType,Curve Type,,False,Compressor Data,Compressor Curve
ModeCheck,Enumeration,,False,Configuration,Global check for mode change warnings while still in process mode
Elevations,Enumeration,,False,,"Global selection to enable the specification of equipment port elevations.\n     Disabled: disable specifications for port elevations.  The elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: manually specify port elevations. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: automatically calculate port elevations using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models (for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
SpeedRef,Speed,rpm,False,Curve Scaling,Compressor reference speed.\nThis reference speed will be ignored if the associated CurveType has Curve Sets for multiple speeds.
IGVRef,Real,,False,Curve Scaling,Compressor reference IGV position.\nThis reference position will be ignored if the associated CurveType has Curve Sets for multiple IGV positions.
SpdExpQ,Real,,False,Curve Scaling,Compressor Fan law exponent for speed on Flow.\nThis exponent is used for curve scaling on the Flow axis when speed is outside the map defined by the CurveType.
SpdExpH,Real,,False,Curve Scaling,Compressor Fan law exponent for speed on Head.\nThis exponent is used for curve scaling on the Head axis when speed is outside the map defined by the CurveType.
SpdExpEta,Real,,False,Curve Scaling,Compressor Fan law exponent for speed on Efficiency.\nThis exponent is used for curve scaling on the Efficiency axis when speed is outside the map defined by the CurveType.
IGVExpQ,Real,,False,Curve Scaling,Compressor Scaling exponent for IGV on Flow.\nThis exponent is used for curve scaling on the Flow axis when the IGV position is outside the map defined by the CurveType.
IGVExpH,Real,,False,Curve Scaling,Compressor Scaling exponent for IGV on Head.\nThis exponent is used for curve scaling on the Head axis when the IGV position is outside the map defined by the CurveType.
IGVExpEta,Real,,False,Curve Scaling,Compressor Scaling exponent for IGV on Efficiency.\nThis exponent is used for curve scaling on the Efficiency axis when the IGV position is outside the map defined by the CurveType.
EqType,Enumeration,,False,,Compressor equipment type passed to curve submodel.\nThis defines the behavior of the interpolation dll.
Thermophysical,Enumeration,,False,,Compressor flag for thermophysical state properties. Do not modify.
PolyFactor,Enumeration,,False,Configuration,Compressor polytropic correction factor:\n     SandbergColby: Improved polytropic correction factor from Sandberg and Colby\n     Schultz: Schultz correction factor from ASME PTC-10\n     None: No polytropic correction factor applied
Phases,Enumeration,,False,Configuration,Compressor option to override the fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     Vapor: The phases are set to Vapor.\n     Liquid: The phases are set to Liquid.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
PhaseNoOverride,Enumeration,,False,,Compressor PhaseNoOverride parameter defaulted to NoOverride which is used for the connection to the State.PhaseOverride when Phases = Fluid
