name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,True,,PFR reactor fluid type
FluidReactions,Enumeration,,False,Configuration,PFR option to include or ignore fluid state reactions
Operation,Enumeration,,True,Calculation Options,PFR reactor thermal operation\n     Isothermal: reactor operates at a constant temperature (specify T2)\n     Utility: connect reactor duty to an external utility stream for heating or cooling\n     Adiabatic: no heat transfer into or out of reactor (Duty = 0)\n     Profile: define a custom temperature profile
RxnModelType,Model Type,,True,Calculation Options,"PFR reactor model for reaction stoichiometry for entire holdup. It is recommended to set RxnModelType to DefKinetics and to select the reaction model directly on any of the Sep.RxnModelTypeV, Sep.RxnModelTypeL1, or Sep.RxnModelTypeL2 instead. "
RxnModelTypeV,Model Type,,False,Calculation Options,PFR reactor model for reaction stoichiometry for vapor phase holdup
RxnModelTypeL1,Model Type,,False,Calculation Options,PFR reactor model for reaction stoichiometry for liquid (VLE) or liquid1 (VLLE) phase holdup
RxnModelTypeL2,Model Type,,False,Calculation Options,PFR reactor model for reaction stoichiometry for liquid2 phase holdup
DPModelType,Model Type,,False,Calculation Options,PFR reactor model for pressure drop correlation
Basis,Enumeration,,True,Calculation Options,"PFR reactor basis for the reaction rate, either by volume or catalyst weight"
Ne,Integer,,True,Calculation Options,"PFR number of reactor elements\n     Ne represents the number of submodels (discrete elements) that are used to calculate the reaction rates in the PFR model. It is not a representation of any physical aspect of the PFR.\n     More elements give a more accurate solution but require additional computational time and equations.\n     While increasing Ne, observe key variable values (Xmax, T2, etc) to find the minimum number of elements that give the required accuracy for your application."
Mm,Metal_Mass,kg,False,Catalyst Data,PFR metal mass for thermal inertia in dynamic mode
ModeCheck,Enumeration,,False,Configuration,Global check for mode change warnings while still in process mode
Elevations,Enumeration,,False,,"Global selection to enable the specification of equipment port elevations.\n     Disabled: disable specifications for port elevations.  The elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: manually specify port elevations. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: automatically calculate port elevations using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models (for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
