name,paramtype,uom,issetbyuser,group,description
SSFluidType,Fluid Type,,False,,HX shell side fluid type
TSFluidType,Fluid Type,,False,,HX tube side fluid type
DTOption,Enumeration,,False,Configuration,HX DT Option (Use Average to initialize for LMTD)
UOption,Enumeration,,False,Film Coefficients,HX use constant overall U or side film coefficients
HotSide,Enumeration,,False,Configuration,HX hot side (default is Duty is positive when shell side is hot)
Icon,Enumeration,,False,Configuration,HX display icon for stream connections
Mm,Metal_Mass,kg,False,Exchanger Data,HX total metal mass\nThis metal mass is divided equally between the shell and tube bundle
Vs,Volume,m3,False,Exchanger Data,HX shell side fluid volume
Vt,Volume,m3,False,Exchanger Data,HX tube side fluid volume
HeatCurve,Enumeration,,False,Heat Curves,HX generate a heat curve to use from Excel
Ns,Integer,,False,Heat Curves,HX shell side heat curve points
Nt,Integer,,False,Heat Curves,HX tube side heat curve points
ReactionsSS,Enumeration,,False,Configuration,HX option to include or ignore shell side reactions
ReactionsTS,Enumeration,,False,Configuration,HX option to include or ignore tube side reactions
RxnRateBasis,Enumeration,,False,Reaction Results,"Global fluid equilibrium reaction rate basis.\n     Absolute: Reaction rates represent absolute molar rates of change. \n     Per Unit Feed: Reaction rates are normalized based on the feed flow \n         rate. Representing the molar change per unit feed, they become\n         independent of the absolute flow rate (preferred).\n\nBoth options yield identical results, but require different formulations\nin the reaction Rate model. “Per Unit Feed” is recommended due to\nbetter numerical stability when stream flows approach zero rate.\nStarting with v2023 fluid reactions are defaulted to the ""Per Unit Feed""\noption.  The ""Absolute"" option is retained for compatibility with\nsimulations built before v2023 and will be removed in a future release."
ModeCheck,Enumeration,,False,Configuration,Global check for mode change warnings while still in Process mode
Elevations,Enumeration,,False,,"Global selection to enable the specification of equipment port elevations.\n     Disabled: disable specifications for port elevations.  The elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: manually specify port elevations. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: automatically calculate port elevations using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models (for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
Feed,Enumeration,,False,,HX feed connection status
FeedBS,Enumeration,,False,,HX both sides feed are connected
FeedTS,Enumeration,,False,,HX only tube side feed is connected
FeedSS,Enumeration,,False,,HX only shell side feed is connected
PhasesSS,Enumeration,,False,Configuration,HX option to override the shell side fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     Vapor: The phases are set to Vapor.\n     Liquid: The phases are set to Liquid.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
PhasesTS,Enumeration,,False,Configuration,HX option to override the tube side fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     Vapor: The phases are set to Vapor.\n     Liquid: The phases are set to Liquid.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
HXSideSSType,Model Type,,False,Configuration,HX shell side replaceable model for pressure drop and heat transfer correlations.\nUse default HXSide or a custom HXSide model.
HXSideTSType,Model Type,,False,Configuration,HX tube side replaceable model for pressure drop and heat transfer correlations.\nUse default HXSide or a custom HXSide model.
