name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,False,,Mix fluid type
ModeCheck,Enumeration,,False,Configuration,Global check for mode change warnings while still in process mode
InletPressures,Enumeration,,False,Configuration,"Mix Process mode inlet pressure option.\n     Minimum: allow any feed inlet pressure. The outlet pressure is then set to the minimum inlet pressure.\n     Balanced: automatically set all feed inlet pressures equal. Therefore, exactly one pressure specification\n     on the feed line must be freed up, typically a valve's, a pipe's or an exchanger's DP specification.\nFor Fluid Flow and Dynamic modes all feed inlet pressures are automatically balanced."
eps,Mole_Flow,kmol/s,False,Configuration,Mix small flow safeguard
Reactions,Enumeration,,False,Configuration,Mix reaction option
RxnRateBasis,Enumeration,,False,Reaction Results,"Global fluid equilibrium reaction rate basis.\n     Absolute: Reaction rates represent absolute molar rates of change. \n     Per Unit Feed: Reaction rates are normalized based on the feed flow \n         rate. Representing the molar change per unit feed, they become\n         independent of the absolute flow rate (preferred).\n\nBoth options yield identical results, but require different formulations\nin the reaction Rate model. “Per Unit Feed” is recommended due to\nbetter numerical stability when stream flows approach zero rate.\nStarting with v2023 fluid reactions are defaulted to the ""Per Unit Feed""\noption.  The ""Absolute"" option is retained for compatibility with\nsimulations built before v2023 and will be removed in a future release."
Elevations,Enumeration,,False,,"Global selection to enable the specification of equipment port elevations.\n     Disabled: disable specifications for port elevations.  The elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: manually specify port elevations. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: automatically calculate port elevations using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models (for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
InletElevations,Enumeration,,False,Elevation,"Global selection to determine the equipment elevation from the connected inlet elevations.\n     Ignore: use the maximum elevation in the inlet flow path as the equipment elevation. All other inlet elevations are then ignored.\n     Equalize: all inlet elevations are forced to be equal. Therefore, an elevation related specification in all but one inlet flow paths\n     must be unspecified. This variable is typically a DE variable in a HX, Pipe, PFR. \n \nTo set InletElevation to 'Equalize' proceed as follows: \n- set InletElevation to 'Equalize'\n- initially, the simulation will go unsquare and you will need to identify all Mixer, Header and CompSplit models.\n- focus only on Mixer, Header, CompSplit models fed by inlet flow paths that have equipment models.\n  with elevation difference DE variables, e.g. HX, Pipe, PFR.\n- focus only on all but one of their inlet flow paths.\n- in these flow paths, remove the specification on the DE variables of equipment models, e.g. HX, Pipe, PFR."
Volume,Enumeration,,False,Configuration,Mix option to turn on header volume. Use for Dynamic simulation when using pipe.\n     Holdup: use this option to account for volume holdup when using Pipe.\n     Instantaneous: use this option to ignore volume holdup when using PipeRig
Phases,Enumeration,,False,Configuration,Mix option to override the fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     Vapor: The phases are set to Vapor.\n     Liquid: The phases are set to Liquid.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
PhaseNoOverride,Enumeration,,False,,Mix PhaseNoOverride parameter defaulted to NoOverride which is used for the connection to the State.PhaseOverride when Phases = Fluid
