name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,False,Configuration,"Source fluid type.\nTo update FluidType, drag drop a fluid over this source.\nPlace a fluid in your simulation library to modify it."
CompBasis,Enumeration,,False,Configuration,Source composition basis for M vector
Reactions,Enumeration,,False,Configuration,Source reaction option
RxnRateBasis,Enumeration,,False,Reaction Results,"Global fluid equilibrium reaction rate basis.\n     Absolute: Reaction rates represent absolute molar rates of change. \n     Per Unit Feed: Reaction rates are normalized based on the feed flow \n         rate. Representing the molar change per unit feed, they become\n         independent of the absolute flow rate (preferred).\n\nBoth options yield identical results, but require different formulations\nin the reaction Rate model. “Per Unit Feed” is recommended due to\nbetter numerical stability when stream flows approach zero rate.\nStarting with v2023 fluid reactions are defaulted to the ""Per Unit Feed""\noption.  The ""Absolute"" option is retained for compatibility with\nsimulations built before v2023 and will be removed in a future release."
StandardProperties,Enumeration,,False,Configuration,"Source StandardProperties option to calculate standard liquid volumetric flowrate\nbased on pure components specific gravity, SG60F, which is at 60 F and 1 atm"
Flow,Enumeration,,False,Reference,"Source Reference options for flow.\n    Reference: use the molar flow value from the reference port.\n    Source: specify either W, F, or Q\n Be prepared to remove one pressure specification in the flow line right after switching to Fluid Flow and Dynamics modes, since the flowrate will be determined through the reference."
Pressure,Enumeration,,False,Reference,Source Reference options for pressure\n     Reference: use the pressure value from the reference port.\n     Source: specify variable P in this source.
Enthalpy,Enumeration,,False,Reference,"Source Reference options for enthalpy\n     Reference: use the enthalpy value from the reference port.\n     Source: specify variable T, VF or H in this source."
Composition,Enumeration,,False,Reference,Source Reference options for composition\n     Reference: use the molar composition value from the reference port.\n     Source: specify variable M in this source.
ModeCheck,Enumeration,,False,Configuration,Global check for mode change warnings while still in process mode
FRramp,Mole_Flow,kmol/s,False,Configuration,"Global flow parameter to ramp from forward stream\nconditions to reverse stream conditions.\n\nFor steady state simulations, use a value smaller than\nthe smallest flowrate in your simulation.\n\nFor dynamic simulations, the FRramp will cause the\nthermodynamic state calculations to use the forward\nenthalpy/composition when the flow is greater than\nFRramp, reverse enthalpy/composition when flow is\nless than negative FRramp, and ramp the values in\nbetween negative FRramp and FRramp as flow reversal\ntakes place.\n\nA larger value will smooth out sudden discontinuities\nfor dynamics but stream properties may appear wrong\nnear zero flow in steady state simulations."
Elevations,Enumeration,,False,Configuration,"Global selection to enable the specification of equipment port elevations.\n     Disabled: disable specifications for port elevations.  The elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: manually specify port elevations. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: automatically calculate port elevations using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models (for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
Phases,Enumeration,,False,Configuration,Source option to override the fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     Vapor: The phases are set to Vapor.\n     Liquid: The phases are set to Liquid.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
PhaseNoOverride,Enumeration,,False,,Source PhaseOverride parameter defaulted to NoOverride which is used for the connection to the State.PhaseOverride when Phases = Fluid
OutFlashCheck,Enumeration,,False,,Source compulsory check for out flash temperature
