name,vartype,uom,specified,group,range,description
P,Pressure,kPa,False,Operation,"[1.0, 20000.0]",Split pressure
T,Temperature,K,False,Operation,"[70.0, 2000.0]",Split temperature
OutRatio[S11],Fraction,fraction,True,Operation,"[-1000000000.0, 1000000000.0]",Split outlet stream flow ratio (only specify if never zero flow)
OutRatio[S12],Fraction,fraction,True,Operation,"[-1000000000.0, 1000000000.0]",Split outlet stream flow ratio (only specify if never zero flow)
RatioSum,Dimensionless,,False,Operation,"[0.0, 0.0]",Split OutRatio sum (specify RatioSum=1 when all OutRatios are calculated)
SumCin[N2],Mole_Flow,kmol/s,False,,"[0.0, 0.0]",Split sum of inlet component molar rates
SumCin[O2],Mole_Flow,kmol/s,False,,"[0.0, 0.0]",Split sum of inlet component molar rates
SumCin[H2O],Mole_Flow,kmol/s,False,,"[0.0, 0.0]",Split sum of inlet component molar rates
SumCout[N2],Mole_Flow,kmol/s,False,,"[0.0, 0.0]",Split sum of outlet component molar rates
SumCout[O2],Mole_Flow,kmol/s,False,,"[0.0, 0.0]",Split sum of outlet component molar rates
SumCout[H2O],Mole_Flow,kmol/s,False,,"[0.0, 0.0]",Split sum of outlet component molar rates
SumFHin,Heat_Flow,kJ/s,False,,"[0.0, 0.0]",Split sum of the inlet's molar enthalpy 
SumFHout,Heat_Flow,kJ/s,False,,"[0.0, 0.0]",Split sum of the outlet's molar enthalpy 
dEdt,Real,,False,,"[-1000000.0, 1000000.0]",Split energy holdup time derivative
absFbal,Mole_Flow,kmol/s,False,,"[-1000000.0, 1000000.0]","Split absolute of the molar balance, ie. the difference between inlet and outlet molar flow"
setp,Dimensionless,,False,,"[0.0, 0.0]","Split stream pressure set flag from upstream model for mode check warnings   (0 - model sets flow, 1 - model sets pressure)"
sumFout,Mole_Flow,kmol/s,False,,"[0.0, 0.0]",Split molar rate after reaction
dMMtdt,Real,,False,,"[-1000000.0, 1000000.0]",Split total molar holdup time derivative
